awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Johannes F. Schmieder,2012,"SCHMIEDER, JOHANNES FRIEDRICH",Boston University,Not Designated,2024-12-06
IZA Institute of Labor Economics,IZA Research Fellow,"Schmieder, Johannes F.",2009,"SCHMIEDER, JOHANNES FRIEDRICH",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,Pankaj Tandon,2011,"TANDON, PANKAJ",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Tandon, Pankaj",2015,"TANDON, PANKAJ",Boston University,Prestigious,2024-12-06
American Association for Dental Research,AADR Hatton Competition and Award,Cataldo Leone,1990,"LEONE, CATALDO",Boston University,Not Designated,2024-12-06
IEEE Computer Society,Certificate of Appreciation,Ayse Coskun,2013,"COSKUN, AYSE KIVILCIM",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Ayse K Coskun,2012,"COSKUN, AYSE KIVILCIM",Boston University,Prestigious,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Ayse Kivilcim Coskun,2019,"COSKUN, AYSE KIVILCIM",Boston University,Not Designated,2024-12-06
IBM,IBM Academic Awards,Ayse Coskun,2020,"COSKUN, AYSE KIVILCIM",Boston University,Not Designated,2024-12-06
Association for Computing Machinery (ACM),ACM Senior Member,"Coskun,?Ayse?K",2021,"COSKUN, AYSE KIVILCIM",Boston University,Not Designated,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),Council on Electronic Design Automation/IEEE CEDA Ernest S. Kuh Early Career Award,Ayse Coskun,2017,"COSKUN, AYSE KIVILCIM",Boston University,Not Designated,2024-12-06
Association for Computing Machinery (ACM),ACM Senior Member,Douglas M Densmore,2014,"DENSMORE, DOUGLAS MICHAEL",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Douglas Densmore,2013,"DENSMORE, DOUGLAS MICHAEL",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Douglas Densmore,2013,"DENSMORE, DOUGLAS MICHAEL",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Douglas Densmore,2021,"DENSMORE, DOUGLAS MICHAEL",Boston University,Not Designated,2024-12-06
Design Automation Conference,Under 40 Innovators Award,Douglas Densmore,2017,"DENSMORE, DOUGLAS MICHAEL",Boston University,Not Designated,2024-12-06
IEEE Computer Society,Certificate of Appreciation,Ajay Joshi,2013,"JOSHI, AJAY JAYANT",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Ajay J Joshi,2012,"JOSHI, AJAY JAYANT",Boston University,Prestigious,2024-12-06
Google,Google Faculty Research Award,Ajay Joshi,2018,"JOSHI, AJAY JAYANT",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Ajay Joshi,2019,"JOSHI, AJAY JAYANT",Boston University,Not Designated,2024-12-06
American Philosophical Society,Library Short-Term Resident Research Fellowship,William Huntting Howell,2004,"HOWELL, WILLIAM HUNTTING",Boston University,Not Designated,2024-12-06
American Antiquarian Society,AAS-Northeast Modern Language Association Fellowship,William Huntting Howell,2013,"HOWELL, WILLIAM HUNTTING",Boston University,Not Designated,2024-12-06
"Winterthur Museum, Garden & Library",Research Fellow,William Huntting Howell,2004,"HOWELL, WILLIAM HUNTTING",Boston University,Not Designated,2024-12-06
American Antiquarian Society,AAS-National Endowment for the Humanities Fellows,William Howell,2020,"HOWELL, WILLIAM HUNTTING",Boston University,Highly Prestigious,2024-12-06
National Humanities Center,NHC Fellow,Sanjay Krishnan,2012,"KRISHNAN, SANJAY",Boston University,Highly Prestigious,2024-12-06
"National Academies, The",Ford Foundation Fellowships/Predoctoral,Deborah Lynn Jaramillo,2002,"JARAMILLO, DEBORAH LYNN",Boston University,Not Designated,2024-12-06
"National Academies, The",Ford Foundation Fellowships/Dissertation,Deborah Lynn Jaramillo,2005,"JARAMILLO, DEBORAH LYNN",Boston University,Not Designated,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Lucy Hutyra,2016,"HUTYRA, LUCY",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Lucy Hutyra,2012,"HUTYRA, LUCY",Boston University,Prestigious,2024-12-06
MacArthur Foundation,MacArthur Fellow,Lucy Hutyra,2023,"HUTYRA, LUCY",Boston University,Highly Prestigious,2024-12-06
American Geophysical Union,Atmospheric Sciences Section/Ascent Award,Lucy Hutyra,2024,"HUTYRA, LUCY",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Fellow,"Mohr, David C",2015,"MOHR, DAVID",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Mohr, David",1989,"MOHR, DAVID",Boston University,Not Designated,2024-12-06
Society of Antiquaries,Fellow,Melanie Hall,2006,"HALL, MELANIE",Boston University,Not Designated,2024-12-06
Gilder Lehrman Institute of American History,Gilder Lehrman Prize for Military History,Cathal Nolan,2017,"NOLAN, CATHAL J",Boston University,Not Designated,2024-12-06
Jefferson Scholars Foundation,National Fellowship,Sarah T. Phillips,2001,"PHILLIPS, SARAH",Boston University,Not Designated,2024-12-06
Harvard University,Charles Warren Center for Studies in American History/Fellows,Sarah Phillips?,2010,"PHILLIPS, SARAH",Boston University,Not Designated,2024-12-06
Siebel Scholars Foundation,Siebel Scholars,Benjamin Lubin,2010,"LUBIN, BENJAMIN",Boston University,Not Designated,2024-12-06
Linguistic Society of America,Linguistics Service Award,Mary Catherine O'Connor,2008,"O'CONNOR, CATHERINE",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),Dynamic Language Infrastructure-Documenting Endangered Languages Fellowships,Catherine O'Connor,2013,"O'CONNOR, CATHERINE",Boston University,Highly Prestigious,2024-12-06
W.E. Upjohn Institute for Employment Research,Dissertation Award,Patricia Cortes,2007,"CORTES, PATRICIA",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Patricia Cortes,2020,"CORTES, PATRICIA",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Mathematics,Margaret,2012,"BECK, MARGARET ANNE",Boston University,Prestigious,2024-12-06
Society for Industrial and Applied Mathematics (SIAM),J D Crawford Prize (SIAG/Dynamical Systems),Margaret Beck,2019,"BECK, MARGARET ANNE",Boston University,Prestigious,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Margaret Beck,2011,"BECK, MARGARET ANNE",Boston University,Not Designated,2024-12-06
Simons Foundation,Collaboration Grants for Mathematicians,Margaret Beck,2019,"BECK, MARGARET ANNE",Boston University,Not Designated,2024-12-06
Simons Foundation,Travel Support for Mathematicians Award,Margaret Beck,2019,"BECK, MARGARET ANNE",Boston University,Not Designated,2024-12-06
Regional Studies Association,Fellowship Research Grant Scheme (FeRSA),Lu?s Carvalho,2022,"CARVALHO, LUIS E",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Mark A Kramer,2015,"KRAMER, MARK",Boston University,Prestigious,2024-12-06
Burroughs Wellcome Fund,Career Awards at the Scientific Interface,Mark A. Kramer,2009,"KRAMER, MARK",Boston University,Not Designated,2024-12-06
American Occupational Therapy Association,Roster of  Fellows,Simone Gill,2021,"GILL, SIMONE V",Boston University,Not Designated,2024-12-06
American Occupational Therapy Foundation,Meritorius Service Award,Simone Gill,2022,"GILL, SIMONE V",Boston University,Not Designated,2024-12-06
American Society for Microbiology,Distinguished Lecturer,Stephen Brecher,1999,"BRECHER, STEPHEN M",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Paul Katsafanas,2023,"KATSAFANAS, PETER PAUL",Boston University,Not Designated,2024-12-06
American Physical Therapy Association,Eugene Michels New Investigator Award,Cara L. Lewis,2016,"LEWIS, CARA L",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,Pankaj Mehta,2011,"MEHTA, PANKAJ",Boston University,Prestigious,2024-12-06
Simons Foundation,Simons Investigators,Pankaj Mehta,2014,"MEHTA, PANKAJ",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"MEHTA, PANKAJ",2016,"MEHTA, PANKAJ",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,"Mehta, Pankaj",2015,"MEHTA, PANKAJ",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Pankaj Mehta,2015,"MEHTA, PANKAJ",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Pankaj Mehta,2016,"MEHTA, PANKAJ",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Pankaj Mehta,2017,"MEHTA, PANKAJ",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,Pankaj Mehta,2023,"MEHTA, PANKAJ",Boston University,Not Designated,2024-12-06
Association for Psychological Science,Fellow,Helen B. Tager-Flusberg,2007,"TAGER-FLUSBERG, HELEN B",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Helen Tager-Flusberg,2007,"TAGER-FLUSBERG, HELEN B",Boston University,Prestigious,2024-12-06
Association for Psychological Science,James McKeen Cattell Fund Fellowship,Helen Tager-Flusberg,2012,"TAGER-FLUSBERG, HELEN B",Boston University,Prestigious,2024-12-06
Simons Foundation,Simons Research Award,Helen Tager-Flusberg,2011,"TAGER-FLUSBERG, HELEN B",Boston University,Not Designated,2024-12-06
International Society for Autism Research,INSAR Fellow,Helen Tager-Flusberg,2018,"TAGER-FLUSBERG, HELEN B",Boston University,Not Designated,2024-12-06
International Society for Autism Research,Lifetime Achievement Award,Helen Tager-Flusberg,2021,"TAGER-FLUSBERG, HELEN B",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),Summer Stipends Awards,David T. M. Frankfurter,1992,"FRANKFURTER, DAVID T. M",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,David Frankfurter,2007,"FRANKFURTER, DAVID T. M",Boston University,Highly Prestigious,2024-12-06
American Academy of Religion,AAR Book Award/Analytical-Descriptive Studies,David Frankfurter,2007,"FRANKFURTER, DAVID T. M",Boston University,Prestigious,2024-12-06
American Academy of Religion,AAR Book Award/Historical Studies,David Frankfurter,1999,"FRANKFURTER, DAVID T. M",Boston University,Prestigious,2024-12-06
Harvard Radcliffe Institute for Advanced Study,Radcliffe Institute Fellowship,David Frankfurter,2007,"FRANKFURTER, DAVID T. M",Boston University,Prestigious,2024-12-06
"American Society for the Study of Religion, The",Member,David Frankfurter,1900,"FRANKFURTER, DAVID T. M",Boston University,Not Designated,2024-12-06
American Sociological Association,Community and Urban Sociology Section/Jane Addams Award,Japonica Brown-Saracino,2016,"BROWN-SARACINO, JAPONICA",Boston University,Not Designated,2024-12-06
Urban Affairs Association,Best Book In Urban Affairs,Japonica Brown-Saracino,2011,"BROWN-SARACINO, JAPONICA",Boston University,Not Designated,2024-12-06
American Sociological Association,Sex and Gender Section/Sally Hacker Graduate Student Paper Award,Catherine Connell,2009,"CONNELL, CATHERINE",Boston University,Not Designated,2024-12-06
American Sociological Association,Sociology of Body and Embodiment Section/Best Publication Award,Ashley Mears,2017,"MEARS, ASHLEY E",Boston University,Not Designated,2024-12-06
Central European University,Institute for Advanced Study CEU/Fellows,Ashley Mears,2021,"MEARS, ASHLEY E",Boston University,Not Designated,2024-12-06
American Sociological Association,"Communications, Information Technologies and Media Sociology Section/CITAMS Paper Award",Ashley Mears,2024,"MEARS, ASHLEY E",Boston University,Not Designated,2024-12-06
Acoustical Society of America,Fellow,Virginia A. Best,2019,"BEST, VIRGINIA A",Boston University,Not Designated,2024-12-06
Association for Research in Otolaryngology,Geraldine Dietz Fox Young Investigator Award,Virginia Best,2012,"BEST, VIRGINIA A",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Coogan, Kristen",2011,"COOGAN, KRISTEN ELIZABETH HAL",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Specialist,"Coogan, Kristen",2011,"COOGAN, KRISTEN ELIZABETH HAL",Boston University,Not Designated,2024-12-06
Medical Library Association,Joseph Leiter NLM/MLA Lectureship,Ann McKee,2015,"MCKEE, ANN C",Boston University,Not Designated,2024-12-06
National Academy of Medicine,NAM Member,Ann Carolyn McKee,2018,"MCKEE, ANN C",Boston University,Highly Prestigious,2024-12-06
International Society to Advance Alzheimer's Research and Treatment,AAIC Lifetime Achievement Awards in Alzheimer's Disease Research,"McKee, Ann C.",2018,"MCKEE, ANN C",Boston University,Not Designated,2024-12-06
American Academy of Neurology,Norman Geschwind Prize in Behavioral Neurology,Andrew Budson,2008,"BUDSON, ANDREW E",Boston University,Not Designated,2024-12-06
American Book Fest,Best Book Awards/Health ? Aging/50+,Andrew E. Budson,2017,"BUDSON, ANDREW E",Boston University,Not Designated,2024-12-06
Memory Disorders Research Society,Member,Andrew Budson,1900,"BUDSON, ANDREW E",Boston University,Not Designated,2024-12-06
Association of American Publishers,Category Award/Biomedicine and Neuroscience,Andrew E. Budson,2024,"BUDSON, ANDREW E",Boston University,Not Designated,2024-12-06
"American Society for Clinical Investigation, The",Member,"Perrine, Susan P.",1993,"PERRINE-FALLER, SUSAN P",Boston University,Not Designated,2024-12-06
Harrington Discovery Institute,Harrington Scholar-Innovator Award,Susan P. Perrine,2016,"PERRINE-FALLER, SUSAN P",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),CLCD/Women in Cardiology Mentoring Award,Emelia Benjamin,2012,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
Association of University Cardiologists (AUC),Member,Emelia J Benjamin,2008,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),Strategically Focused Research Network,"BENJAMIN, EMELIA",2018,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
Alliance for Academic Internal Medicine,"AAIM Diversity, Equity, and Inclusion Award",Emelia J. Benjamin,2020,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),Population Research Award,Emelia Benjamin,2016,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
Association of American Physicians,Elected Member,Emelia Benjamin,2021,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),CLCD/Laennec Clinician/Educator Lecture,Emelia J. Benjamin,2019,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),GPM/Mentoring Award,Emelia Benjamin,2013,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),"EPI/William B. Kannel, MD, Memorial Lectureship Fund in Preventive Cardiology",Emelia J. Benjamin,2018,"BENJAMIN, EMELIA J",Boston University,Not Designated,2024-12-06
